gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	log2FC_abs	padj_score	expr_score	TargetScore	direction	is_actionable_known
SEMA5B	2981.57261613713	5.31180134935299	0.123113478509808	5.89370541854082e-269	1.32908950893514e-264	5.31180134935299	263.876445770052	3.47459102615755	137.944942439611	Up_in_Tumor	FALSE
MIR4508	548.030292096035	5.89557537176801	0.185365304955011	5.05383882141678e-216	5.69845596308849e-212	5.89557537176801	211.244242803547	2.73959630679476	112.0656160349	Up_in_Tumor	FALSE
PYCR1	6380.4328714426	3.72900207409341	0.12298819104703	4.06821398544778e-203	3.05807645286109e-199	3.72900207409341	198.514551661291	3.80491820509922	103.747261545759	Up_in_Tumor	FALSE
FAM83A	5599.75074361796	6.73567507760029	0.235040700465202	3.53058224589277e-183	1.99045400567819e-179	6.73567507760029	178.701047853403	3.74824624521292	96.8358482533444	Up_in_Tumor	FALSE
TUBB3	4301.21182616075	4.90304887746628	0.193404040772086	6.12285324254321e-144	2.30127439120987e-140	4.90304887746628	139.638031595376	3.63369178974925	75.448803033104	Up_in_Tumor	FALSE
ETV4	2159.08091575637	3.80062536478208	0.153740311542057	1.79920823472708e-136	5.07174311266629e-133	3.80062536478208	132.294842751888	3.33447001995107	70.6149407447165	Up_in_Tumor	FALSE
C16orf59	265.644399288773	3.47971558273547	0.140869374988624	1.52389433122922e-136	4.90933443765001e-133	3.47971558273547	132.308977381533	2.42593246601055	70.1193907667038	Up_in_Tumor	FALSE
AFAP1-AS1	3173.79680152526	6.30332277609475	0.26466840334173	6.03509427584356e-128	9.0731607343032e-125	6.30332277609475	124.042241395372	3.50171593410033	69.0247866606007	Up_in_Tumor	FALSE
B3GNT3	2178.92906616587	4.36620673470843	0.182565961040855	5.79401725292397e-128	9.0731607343032e-125	4.36620673470843	124.042241395372	3.33844236210279	67.0550159048149	Up_in_Tumor	FALSE
TOP2A	5461.46878302626	3.87643138886308	0.161491981623064	4.18258135073467e-126	4.96428379160093e-123	3.87643138886308	122.304143399292	3.73738896807492	65.775980882124	Up_in_Tumor	FALSE
SAPCD2	875.067164157203	3.73986256914276	0.158330361775535	8.69754143213921e-125	9.80691284180856e-122	3.73986256914276	121.008467684442	2.94253740286294	64.8326038919363	Up_in_Tumor	FALSE
IQGAP3	1361.31191022652	3.57708421027921	0.152485923083094	5.99033132401066e-123	5.87338963859845e-120	3.57708421027921	119.231111187258	3.13427655352516	63.8194951146135	Up_in_Tumor	FALSE
LOC100131726	167.282812536012	6.44291943283107	0.281094740020535	2.35111711266097e-117	1.8282773106075e-114	6.44291943283107	113.737957930412	2.22603976183475	63.7571063504038	Up_in_Tumor	FALSE
CRABP2	8361.05436856926	5.61607385078819	0.250819724191153	5.98213056340303e-113	3.74730628709171e-110	5.61607385078819	109.426280808279	3.92231298692796	61.1136768523131	Up_in_Tumor	FALSE
UBE2T	851.286567022263	3.30772471723193	0.145884139032306	2.06070450836696e-115	1.40821052630858e-112	3.30772471723193	111.851332413674	2.93058564353578	59.8195080527763	Up_in_Tumor	FALSE
KIF4A	713.992061559499	3.8072302679169	0.168828067848038	3.87030156197246e-114	2.49369058640117e-111	3.8072302679169	110.603157434159	2.85430121992689	59.679669228982	Up_in_Tumor	FALSE
ADM2	749.627151358539	3.43309739688443	0.153090079116303	6.97119239930034e-113	4.24884756207087e-110	3.43309739688443	109.371728850021	2.87542426947211	58.6940466757894	Up_in_Tumor	FALSE
ABCA12	593.60740164656	5.30977965642359	0.243875980800865	2.2611119211952e-107	1.13311855410829e-104	5.30977965642359	103.945724649094	2.77423031098101	57.8374880431667	Up_in_Tumor	FALSE
