gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
1/2-SBSRNA4	35.2659936623032	0.566289177547101	0.107121151635346	9.74741596293272e-08	2.49959037275524e-07
A1BG	331.850782702428	0.647134955701478	0.186362768557641	0.000365438048940651	0.000667232891398318
A1BG-AS1	59.8491872146573	-0.104920668140225	0.146673720656632	0.467944378222714	0.546654251621447
A1CF	19.0403771015416	4.08723139102989	0.387984826118037	3.84085050358493e-17	1.97977187900214e-16
A2LD1	247.704640079932	0.538196490535946	0.0874913826775347	6.07959617167317e-10	1.87578291513752e-09
A2M	67717.6053867521	-1.83061076018918	0.137681784459028	9.57801508442549e-41	1.86845863467889e-39
A2ML1	67.6175762556998	4.64373187033868	0.335651627491582	9.40309261057548e-23	6.92744663381535e-22
A2MP1	4.67462256480162	-0.760743780832232	0.197622037469345	8.36892495406541e-05	0.00016352796693452
A4GALT	987.57141702804	0.0178553193555642	0.145583576356297	0.904750596978326	0.933963124898495
A4GNT	7.55589183282973	-0.0610291099683858	0.246349755776161	0.0196331443118444	0.0291664715004217
AA06	0.0289210854755365	-0.0682780066498087	0.833647481529826	0.839140924545029	0.892407245358571
AAA1	12.8922359214677	5.56593998646739	0.504863447703841	8.26871784151369e-37	1.32434556849414e-35
AAAS	1653.99512584111	0.403088456212997	0.0608805952697926	3.30327982257426e-11	1.11749569875296e-10
AACS	1998.50810911463	0.65954602061066	0.0922775660038865	9.14303242261148e-13	3.48108262978747e-12
AACSP1	11.1046551680742	0.650149809396122	0.325157508328539	0.785141902060855	0.848260194192227
AADAC	276.634681145589	-1.33740263214503	0.313518949964106	9.39015468520212e-06	2.01385999339984e-05
AADACL2	3.24140251530079	-1.17655389732351	0.473161875472141	0.00629358791819296	0.00996676272072818
AADACL3	0.625344037170325	1.47757192041369	0.646835321132376	0.0596527129020041	0.0829619690812886
AADACL4	0.721227361197	0.0946422046232841	0.363640318657306	0.783062950473671	0.846622523546445
AADAT	283.400379145082	-0.0574105029072936	0.140607295975856	0.678195582720162	0.752397726468361
AAGAB	2379.24770007403	0.490574374648318	0.0682514431971951	7.97775895528438e-13	3.05184804411566e-12
AAK1	2042.89956979077	-0.185459430334788	0.0740209289346954	0.0119140067686791	0.0182324081596419
AAMP	5459.68961745537	0.382006524662572	0.054123347383338	3.62940993216161e-12	1.32631378026538e-11
AANAT	13.3005451439213	1.05604786170734	0.19465466000424	2.19426226567876e-08	5.94959821489982e-08
AARS	7913.10718227933	0.576676830226784	0.0763694719895832	1.55941018216938e-13	6.26068346414486e-13
AARS2	1164.97848721749	0.566157777319364	0.0727176474620721	6.20153034758804e-15	2.75894083386186e-14
AARSD1	1095.75363001547	0.675394154439008	0.0660379044177594	1.22367528951345e-24	1.01192157879786e-23
AASDH	598.865258308673	0.0724846995488521	0.0687325382211422	0.293267410845248	0.358570450117717
AASDHPPT	2031.58544530893	0.379668105407775	0.0604174299846043	2.98735671790299e-10	9.41944649684428e-10
AASS	1305.85393124596	-0.298504785866601	0.148246993450384	0.0398402727196344	0.0568200094928204
AATF	3057.84020967935	0.523582924364262	0.0658351759981135	2.55646645106449e-15	1.17176575077145e-14
AATK	763.747070881248	-1.67524395020459	0.203223623019759	6.87179764767601e-17	3.49179605121094e-16
AATK-AS1	1.71624217925685	1.94561797065776	0.430943556813605	6.91946469439842e-07	1.65000368323336e-06
ABAT	924.038212522841	0.154475531267105	0.156651784635372	0.320461474968189	0.388951922605362
ABCA1	3099.29469491692	-0.7863501891564	0.123793874292245	1.48648376266559e-10	4.79360722606488e-10
ABCA10	62.4228614789099	-1.498748014686	0.169176123549731	3.56559152728724e-19	2.11432170738508e-18
ABCA11P	271.995919641244	0.202308692825858	0.0816861394774674	0.0130233822831741	0.0198425980587703
ABCA12	593.60740164656	5.30977965642359	0.243875980800865	2.2611119211952e-107	1.13311855410829e-104
ABCA13	617.89867176127	0.49870040873205	0.261614744417379	0.0441812744799056	0.0626584441730929
ABCA17P	105.890174828718	-1.04963269762924	0.182082299360737	4.790587249523e-09	1.36958079442182e-08
ABCA2	2455.40339475826	0.269328753521327	0.101737926325985	0.00835617109730388	0.0130264077433499
ABCA3	16245.0943955008	-2.04985354936736	0.196508511983715	3.92035492803592e-26	3.54056563805119e-25
ABCA4	1007.1480722745	3.68219921332188	0.294050865934599	5.41170902870092e-38	9.12785716576174e-37
ABCA5	716.418986383761	-0.280001922315468	0.11640792587385	0.0149307799392057	0.0225703189709765
ABCA6	328.146206942979	-1.37825655227676	0.14757873935859	4.59749062209821e-21	3.02532859699261e-20
ABCA7	1733.59027860984	0.538555065526788	0.120707949888856	9.19143867673899e-06	1.97322137839994e-05
ABCA8	645.551134758541	-2.92924137459861	0.201982468184028	4.64681984328547e-48	1.26101605638906e-46
ABCA9	180.568090548628	-1.77823109507815	0.143824631581145	1.56296873337345e-35	2.32343493120005e-34
ABCB1	216.021420045483	-1.57775549063122	0.157093938088818	4.16096699598102e-24	3.32390955460036e-23
ABCB10	940.329542146126	0.15906828133287	0.06611101185567	0.0160189382363232	0.0241279105107751
ABCB11	8.73402028268127	1.35705278618799	0.301177904552344	1.60757742995982e-06	3.71515460371222e-06
ABCB4	92.7553322691592	2.10567348695484	0.192209908270338	2.57151034317015e-26	2.34398260908772e-25
ABCB5	8.18105083864787	-0.901271341212047	0.252178220803841	0.00022938673309421	0.000428610507747745
ABCB6	1902.9574921963	1.87025275262771	0.145608569899443	9.9134542586016e-39	1.73975336175661e-37
ABCB7	1009.23199056683	0.167580867132839	0.0578291695493771	0.00370237246573747	0.00603485373869503
ABCB8	1789.21727131865	0.331325672863883	0.0778952567328992	1.96495572784699e-05	4.09157124826201e-05
ABCB9	397.123533322449	1.26862107237405	0.118235002790914	1.97559873224655e-27	1.92198994870112e-26
ABCC1	4485.14144105449	0.214320737505039	0.100104645836723	0.0347828834027959	0.050015061187137
ABCC10	1625.95172340514	0.662999603192948	0.0738532970147853	1.95583091937874e-19	1.17930329045214e-18
ABCC11	16.7053324610023	2.59910956505376	0.215449009193351	1.13494951009966e-23	8.81951978024035e-23
ABCC12	8.86402067422599	0.830746071418613	0.297942147636255	0.00270543748782853	0.00448440432105999
ABCC13	15.5670375933782	-1.95068501303464	0.278376519211051	8.74794531367946e-13	3.33572733799096e-12
ABCC2	885.777420770821	4.83776026737094	0.36871157622231	1.62174179864813e-41	3.30369460716476e-40
ABCC3	10838.7609410264	2.50547626796793	0.15887627924307	7.6818492967288e-57	3.05526249542383e-55
ABCC4	2115.63019679912	-0.0723601641763633	0.144013469659399	0.596797182886889	0.674841963159115
ABCC5	2037.60614069116	0.705045743274022	0.118407417489406	2.06318609952555e-09	6.09789118353876e-09
ABCC6	1031.81630469896	-0.604434355083696	0.153200136101166	6.07201307867817e-05	0.000120303959705914
ABCC6P1	141.464006418703	0.0236881008437186	0.156395348515621	0.879287840047294	0.919426967589617
ABCC6P2	56.7170291127893	0.0342760428587347	0.158456193669478	0.827518074852505	0.883670807178655
ABCC8	55.130236698373	-0.0199478673727996	0.27952402533118	0.938072449633288	0.954449051611791
ABCC9	775.893801291259	-1.00608281200336	0.151598973120582	1.96599391361799e-11	6.76252726449045e-11
ABCD1	1122.32994029008	0.292239575464138	0.0967302148150884	0.00248829639300029	0.00413877946294066
ABCD2	71.4612024258617	-0.211700756587608	0.161816083330308	0.183339697386482	0.233732461742471
ABCD3	3446.81168435356	-0.0734432311648528	0.0840859920718436	0.376837005352744	0.449918006549647
ABCD4	1523.23866145451	-0.082983370262568	0.0635318938896037	0.189537118464905	0.240938644785911
ABCE1	2510.22153054958	0.550909245489788	0.0688387929696396	1.75125634088587e-15	8.0910841514684e-15
ABCF1	4790.36019730509	0.402137777477548	0.0696061309661043	8.59412758986938e-09	2.41111527020531e-08
ABCF2	2380.66758071541	0.587757515884175	0.0615737988495623	1.06097839366948e-21	7.30345657986582e-21
ABCF3	2581.06184705641	0.272024029497574	0.0560817230581279	1.21449884228574e-06	2.83638808951799e-06
ABCG1	2338.23114264037	-1.37011726362007	0.121793310714855	9.45422697803698e-30	1.05285072879858e-28
ABCG2	290.73489395411	-2.02158298679948	0.141570967521881	1.10311934549745e-46	2.8045596798549e-45
ABCG4	11.1441457322615	0.280698453150458	0.15639905972293	0.0676991537628526	0.0933465983800727
ABCG5	5.14117261574811	0.346933441777514	0.231504990871063	0.883725977118122	0.921866246183309
ABCG8	2.64857551331236	2.38465786719598	0.363224807435948	1.6903546135041e-06	3.89846460310196e-06
ABHD1	27.5948018722159	0.838502690295239	0.171774948348946	5.16908535812875e-07	1.24765111753357e-06
ABHD10	1217.86181450566	0.138039492271134	0.0644739068195911	0.032368450296318	0.0467910847841197
ABHD11	2056.1868981669	1.39715122686609	0.10761241735899	4.13079666275628e-39	7.40489630698068e-38
ABHD11-AS1	194.763898239329	0.345973545735494	0.178670376877508	0.0475625153271196	0.0671286946515129
ABHD12	3991.33133479755	0.435057461112924	0.0789937487381248	3.21766855718809e-08	8.60857084270359e-08
