gene	mean_rank	std_rank	folds_seen
PPAT	57.6	8.260750571225353	5
ASPM	57.6	16.692513291892265	5
LOC400550	60.2	24.127992042439008	5
PPP1R14D	60.4	20.12560558095085	5
C13orf15	61.2	26.026140705068048	5
SRPK1	61.8	13.570556362949898	5
PSAT1	64.2	36.090996107062495	5
EFNA4	64.4	6.406246951218787	5
GREM1	64.6	49.000408161565346	5
RAMP3	65.2	8.49470423263812	5
KIF14	66.2	17.6	5
MYBL2	66.4	60.53296622502486	5
WWC2	66.6	26.911707489492375	5
ANLN	68.2	37.64784190362045	5
PITX2	70.0	27.878306978724517	5
FHL1	70.2	24.798387044322055	5
FRMD5	74.8	31.05092591212056	5
MDK	75.4	7.735631842325487	5
ORC6	77.0	13.971399357258385	5
TROAP	77.0	14.51895313030523	5
GPM6A	78.0	14.198591479439079	5
CENPF	78.0	14.491376746189438	5
DENND3	78.2	33.90811112403638	5
PRKCE	79.8	33.87860681905323	5
PYCR1	80.4	41.21456053386958	5
EEF1A2	80.6	41.1708634837794	5
SPAG5	82.2	23.146490014686893	5
CCNB2	84.0	24.90783009416918	5
LOC100128164	84.8	16.424372134118247	5
COL11A1	84.8	59.39158189508004	5
LIMS2	85.0	20.890189084831185	5
FGD5	85.8	24.375397432657383	5
GRASP	88.0	40.38811706430494	5
ARHGEF15	88.4	23.465719677862005	5
B3GNT3	90.0	28.55871145552614	5
FCN3	90.4	42.15495225949142	5
ABCA12	92.0	40.11483516107227	5
DEPDC1	94.4	10.707007051459337	5
SFXN1	95.2	31.94620478241508	5
CLEC1A	96.0	24.551985663078252	5
RAMP2	96.2	9.947864092356712	5
XRCC2	98.0	51.58294291720859	5
CDCA8	98.4	28.09697492613751	5
EPHA10	98.4	35.95886538810701	5
EPAS1	101.2	23.886397802933786	5
DEPDC1B	101.4	42.504587987651405	5
PTPRH	101.6	50.50782117652671	5
JAM2	102.6	21.63885394377438	5
SAPCD2	105.2	32.008748804037936	5
NEK2	105.6	49.045285196438606	5
STARD8	105.8	28.763866221354874	5
UHRF1	106.0	36.38681079732051	5
TMEM177	106.2	41.60480741452843	5
EPN3	106.6	32.915649773322116	5
SEMA3G	111.4	38.758740949623224	5
NEIL3	112.0	22.333830840229805	5
KIF18B	113.2	27.006665843824557	5
KIF20A	114.4	29.445542956447586	5
LOC158376	114.4	54.50357786420998	5
TUBB3	115.0	30.639843341636066	5
PTPN21	115.2	35.62246482207541	5
GCNT3	115.4	24.791934172226256	5
RCC1	116.6	34.575135574571505	5
CDC20	118.4	40.824502446447525	5
STARD13	120.8	34.62600179056196	5
CTHRC1	121.2	38.654365859498974	5
E2F8	122.0	24.041630560342615	5
HMGB3	122.0	43.13235444535807	5
KANK2	123.2	35.23293913371407	5
SKA3	123.4	24.294855422496344	5
SMAD6	125.6	35.13175202007437	5
SDPR	126.6	36.92478842187183	5
CDC6	127.4	28.09697492613751	5
CLEC14A	127.6	41.62979702088398	5
CDH5	128.0	22.235107375499673	5
CCNB1	128.6	43.65592743259499	5
UBE2T	130.2	17.848249213858484	5
LOC254896	130.4	37.728503813429974	5
KIF4A	130.4	44.710625135419434	5
CST1	130.8	29.22601580783806	5
C20orf202	131.8	48.823764705315384	5
FAM83A	132.2	54.806568949351316	5
PPP1R14B	133.0	35.270384177096794	5
SH2D3C	133.2	16.557777628655362	5
MYCT1	134.8	30.281347394064223	5
GOLM1	135.0	49.34369260604642	5
FERMT1	135.2	14.551975810864999	5
ERCC6L	135.4	33.13366867704209	5
TMPRSS11E	135.8	54.19372657420783	5
TEK	136.6	36.45600087777046	5
LOC100131726	137.2	58.17353350106902	5
MMP11	137.6	33.761516553614705	5
TAL1	137.8	13.731715115017497	5
HSPA12B	138.4	24.83223711227001	5
RTKN2	138.4	50.082332214065275	5
SPTBN2	140.6	16.75231327309754	5
ZWINT	142.4	7.683749084919419	5
ACVRL1	143.0	27.949955277245078	5
S1PR1	144.8	22.51577224969199	5
ARHGAP6	145.6	16.49969696691427	5
DLGAP5	145.8	30.635926622186574	5
KIF26B	146.0	30.430248109405877	5
KIF2C	146.8	7.858753081755401	5
BMPR2	147.6	22.231509170544406	5
CENPA	147.6	26.87452325158532	5
GJB2	148.0	34.99142752160878	5
GPR146	148.6	33.95644268765502	5
SGOL1	148.8	43.66875313081425	5
ROBO4	149.6	29.34348309250284	5
CDCA3	150.2	25.293477420078087	5
HMMR	150.2	29.417001886664114	5
RRM2	150.6	18.99052395275075	5
IGSF9	151.4	41.72097793676462	5
TTK	151.6	23.988330496305906	5
EDNRB	151.8	14.07693148381422	5
TOP2A	151.8	27.315929418564547	5
TPX2	152.2	17.10438540258024	5
TMPRSS4	152.2	36.267892136158125	5
MELK	152.4	28.16806702633321	5
ALDH18A1	152.4	51.000392155355044	5
KANK3	153.4	25.64059281685975	5
BUB1B	154.0	28.42534080710379	5
MYEOV	154.8	17.611359970201054	5
STIL	155.0	38.72466913996813	5
LDB2	156.0	39.55249676063447	5
ZYG11A	157.0	45.17964143284008	5
GTSE1	157.6	28.52788109902311	5
PAICS	158.8	18.946239732464065	5
LRRC32	158.8	46.7734967690037	5
CDC45	159.4	28.534890923218892	5
BIRC5	160.2	18.312837027615355	5
CYYR1	162.4	18.74673304872078	5
CRABP2	162.6	33.903392160667345	5
MYZAP	163.2	19.620397549489155	5
UBE2C	163.8	17.10438540258024	5
KIF11	163.8	28.791665460684975	5
CDC25C	164.8	21.609257275528932	5
MCM10	165.2	27.665140520156406	5
PLK1	166.0	59.11683347406219	5
ERG	166.2	31.896081264004827	5
HJURP	168.2	21.949031869310318	5
NUF2	168.4	40.50481452864585	5
ARHGEF26	168.6	26.310454196003533	5
AURKB	169.6	32.793901872146904	5
PRX	170.4	27.73157045679166	5
CALCRL	174.4	20.915066339842195	5
CKAP2L	175.2	18.082035283673132	5
GIMAP8	175.2	26.70880004792428	5
CEP55	180.6	15.173661390712526	5
C20orf160	181.2	5.912698199637792	5
EXO1	188.2	7.413501197140255	5
