gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
SNCB	5.44435824918866	1.16262684289304	0.264909542614822	3.35572627213911e-05	6.8364448588179e-05
WDR69	165.154374888424	-1.02800063520396	0.255699449237801	3.36465235147617e-05	6.85298728126257e-05
PYY	10.2875728508229	1.20649698405072	0.225866500104657	3.39108066743535e-05	6.90556800897007e-05
C3orf74	1.35480196200602	1.329612263301	0.359885631587002	3.41970942047195e-05	6.96009631237029e-05
PRB1	2.30969730167438	5.54931829205291	0.762170481228969	3.41964007858655e-05	6.96009631237029e-05
ALPI	2.14613678501322	2.91187173304045	0.473575992172039	3.46176725193292e-05	7.04188285209627e-05
TSSK1B	7.37226247498502	1.10113140621177	0.282345244143086	3.56272359989387e-05	7.23941069572955e-05
LOC100128590	7.20883806203842	2.02970962550596	0.380737791717737	3.5807387734999e-05	7.27470631362129e-05
ZNF99	11.1704135362697	1.11645089106273	0.288467904646685	3.61046394926072e-05	7.33245429753049e-05
MGC16025	2.97678106884855	1.23148238803979	0.271465970810514	3.65306414729877e-05	7.41429660568217e-05
C2orf83	1.02667266973687	1.75652056009654	0.465016638879338	3.75904777721617e-05	7.62322719640304e-05
LOC100192378	1.22879473509148	2.62543128519006	0.486447323711171	3.77186631164236e-05	7.64784725713422e-05
PAPL	15.877574425299	1.43875847517494	0.360580785188215	3.79717668239232e-05	7.69639864862747e-05
DSCR4	4.49207163899959	7.11367581192534	1.52470242070751	3.83781887092575e-05	7.77737718891505e-05
VCX3B	4.36482678002346	3.25204968399919	0.457845854609177	3.84671577139648e-05	7.79400605217988e-05
SPINT4	1.43564354717536	2.4847756029586	0.553864431478552	3.92596174831971e-05	7.94528972326643e-05
KRT40	35.3687692997448	2.16316351267337	0.371955962511878	3.99348854619928e-05	8.0725313916583e-05
LOC100144604	38.2291516608995	-1.13403817366884	0.286120745475422	4.00164750278887e-05	8.08757419209462e-05
ANXA13	39.7349578679433	2.08720918223169	0.352165715193626	4.01666200761709e-05	8.11646459980045e-05
PRND	60.9199973957144	-1.05936637723564	0.266430961190014	4.02920038196383e-05	8.14107139267686e-05
LINC00479	5.39349033287357	1.36014067264961	0.301869948963406	4.06947027105432e-05	8.22022788270745e-05
CLEC18C	5.23741200245983	1.03802228288813	0.266751530894522	4.09914147750167e-05	8.27793852056418e-05
FMR1NB	1.87567298698695	4.89341719206657	0.558132477064078	4.16439347743644e-05	8.40369013956772e-05
C16orf11	1.97118754518403	1.09844894986236	0.27824845730943	4.17318405814345e-05	8.42067588539665e-05
TMPRSS11F	1.41995334034779	2.03225042677823	0.57513341369646	4.19608028811999e-05	8.46233290801234e-05
TRIM40	4.87538628147153	2.23483804828445	0.441149409658227	4.28456851496749e-05	8.63229738059786e-05
LINC00114	1.14667420149675	-1.01773415445369	0.258554955161185	4.29025526828813e-05	8.64298254021491e-05
CASR	37.7107650032936	2.81289846354851	0.390514523512072	4.31182651997783e-05	8.68411180244887e-05
S100A9	15270.0016515547	1.16959857421095	0.264622690312934	4.32054583756759e-05	8.7008956226993e-05
HRH3	3.1858772616381	2.66034804387247	0.38777305641438	4.37080350363586e-05	8.79582275660292e-05
MIR4269	0.387868724022448	-1.72465690666003	0.409617022886176	4.40197795970067e-05	8.8538177817704e-05
SLURP1	2.1759261512841	1.50671079859388	0.40497720920367	4.43736896815e-05	8.92102234115634e-05
STK32B	211.071918607237	1.01913830165039	0.225704374222957	4.50407651283313e-05	9.04867968293095e-05
LOC339685	7.47277328984653	1.04146966683313	0.271279771883273	4.63812332967108e-05	9.30720049896889e-05
METTL24	5850.5232796756	1.96330568909226	0.130578251139257	4.64414911594531e-05	9.31846309401927e-05
UBE2U	6.78049059080089	2.13649071169476	0.563013105388644	4.76073200223268e-05	9.54474283271241e-05
CARD18	2.25282722310161	4.2597653324095	1.10375644614916	4.78446420449057e-05	9.58550571032933e-05
SOHLH2	3.64885730869329	6.02237587606881	1.45541840951577	4.82069225201032e-05	9.6555138977782e-05
DNTT	1.43193453968293	1.48174889680838	0.418153369318429	4.93193352747e-05	9.86430447698234e-05
CRYM	1272.50399269422	1.02253131487233	0.267386025380719	4.94707873096408e-05	9.89371873554195e-05
OR1J1	1.02291971333952	2.11064857044813	0.547773833658779	4.96025695119807e-05	9.9183148170303e-05
POU3F3	2.28612744643832	2.45724275852708	0.368604971493768	4.99600834735572e-05	9.98537483304252e-05
ST8SIA5	10.7414499308358	1.32185763805538	0.252660225171343	5.08047995079519e-05	0.000101506071914931
AZGP1P1	1.93086675438971	3.01987127254391	0.466917117271918	5.0922693231055e-05	0.000101723594211491
DGAT2L6	2.32480261988288	1.44945101542978	0.394409913575679	5.09322516040817e-05	0.00010173367634399
TBC1D29	1.73495566186449	1.41690915668593	0.382239261097713	5.18382330960594e-05	0.000103488313965053
MIR1973	2.45709142869246	1.03841790788246	0.267835311463638	5.19422809464581e-05	0.000103659325453414
MIR4326	2.26762854332539	1.10831185663122	0.288031170653897	5.22582938141219e-05	0.00010423463504354
KCNT1	29.0447485305375	1.74765311587844	0.294525171965965	5.25942805846326e-05	0.000104876967146879
CDH10	14.5722613035847	-1.07627481588621	0.275843776511672	5.31766799987486e-05	0.000106000823004665
GOLGA6L1	4.12220045055462	2.74145535842161	0.496368770216698	5.3237018982779e-05	0.000106092967044949
ZNF679	2.30818350514782	2.13868958299815	0.386873961089282	5.48365392169078e-05	0.000109155158961999
IFNB1	0.983679680542343	1.90208524918783	0.508398048263654	5.50107050826223e-05	0.000109492180963655
SVOP	4.15912116046973	2.55510181596809	0.412820029530392	5.51773661802335e-05	0.000109804516831137
TLX1NB	1.01137974429808	2.56889385207392	0.637596020748522	5.51902470399408e-05	0.00010982045892506
OR56A3	2.90391454732743	5.13057878923065	1.19628931785248	5.54678826198707e-05	0.000110324238927563
MIR4260	1.25162146498131	1.60718141226532	0.430897149035063	5.55247207516383e-05	0.000110427548961125
DIO1	80.9340326245227	1.36897512823068	0.301010599773447	5.56678961169028e-05	0.000110692771830727
DDC	384.806296798278	1.77819346221009	0.357289993765349	5.57516997509638e-05	0.000110839864329012
UTS2	20.0179644759758	1.04213294007677	0.275978342759951	5.60241090086231e-05	0.000111322555489775
MYOD1	1.29740546991457	2.69514301856054	0.491854879484175	5.64919671453514e-05	0.000112212661947927
KRTAP9-1	0.746853174669337	5.08146525087946	1.27677240179991	5.66192582088544e-05	0.00011245560083388
OR2H2	1.31353230174359	1.62052939888671	0.452387937367214	5.89052564954688e-05	0.000116903321238169
RFPL4A	0.74033983825566	-1.57565792949538	0.415552118913342	5.90289668046685e-05	0.000117138527843372
BTBD17	2.73204233550698	2.47093851141624	0.451907978299484	5.96038763016883e-05	0.000118227373953679
LOC729444	1.25061956445186	3.74279578294113	0.901795159950782	5.99748458350508e-05	0.000118910915106931
ADAM7	1.22288910223032	2.7863284537571	0.731147126139196	6.01709431927126e-05	0.000119257772889687
POTEG	1.04841304849781	2.21708772051902	0.564733072033228	6.04199588293691e-05	0.00011971975147712
CYMP	5.55289848862286	3.14624895545592	0.419166707008957	6.07334647671509e-05	0.000120319807077574
GRIA2	5.41799326120394	1.44996127858798	0.293037921987968	6.1909142843689e-05	0.000122562819793524
LOC100507334	3.22978660806281	1.26775808734242	0.338803138923621	6.24517974934013e-05	0.000123604571289599
OPTC	1.05746424035024	2.05252327176793	0.538302072123922	6.33229361051414e-05	0.000125251778976146
ACTL9	1.20355680399103	1.69736962364537	0.456897089436879	6.36747105949484e-05	0.000125914450949376
LOC283688	1.25926795971316	2.10304371663682	0.49106771312704	6.37182494194067e-05	0.000125989499575365
C1orf64	9.50741335305723	2.63281394935007	0.496169887931428	6.525199315664e-05	0.000128931718012388
IHH	106.216868100298	-1.07546740543301	0.326043042113451	6.5936553615335e-05	0.000130250106918309
PDZK1P1	2.10590313058889	1.17539320637761	0.310865775879441	6.77894455869379e-05	0.000133746263117326
LINC00536	1.83161361499372	1.35161627232903	0.327976456795149	6.81159879212702e-05	0.00013435525615434
CCDC160	62.6214989578391	1.00566678994588	0.267920276962076	6.82950038302364e-05	0.000134673017783811
VCX2	2.17422915991375	3.20014103961295	0.636664888061191	6.86109574511e-05	0.000135260573606063
AQP12A	1.24284937801513	3.12961644786791	0.680756982650064	6.92975795508052e-05	0.000136554501612217
CPLX4	1.2676588764586	1.46837119344852	0.418138652994921	6.99010139402562e-05	0.000137707501124025
RNASE13	1.54706656519443	-1.02381873307288	0.268990254335473	7.28053346927326e-05	0.000143228919362803
CXCL6	244.571147600748	1.14136813889303	0.311468209074577	7.39440834602332e-05	0.000145405739981838
