gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	log2FC_abs	padj_score	expr_score	TargetScore	direction	is_actionable_known
FGFR2	1562.30543991063	-1.75835482211068	0.173563198689959	1.47570182120574e-24	1.21277521027735e-23	1.75835482211068	22.9162196888144	3.19404383912487	13.8552734343429	Down_in_Tumor	TRUE
NTRK3	50.9023311937172	-1.7790104526398	0.181901463818315	5.47934603677922e-23	4.09697388844192e-22	1.7790104526398	21.3875368039604	1.71518686462747	12.8158162275455	Down_in_Tumor	TRUE
RET	505.418309061675	2.82614450360212	0.311460782108255	3.08303629643746e-19	1.83203034310833e-18	2.82614450360212	17.7370673375812	2.70450939878796	12.2355800521503	Up_in_Tumor	TRUE
ERBB2	15568.7353494105	1.05190943957376	0.122135944182658	7.22806630959312e-15	3.19733470670134e-14	1.05190943957376	13.495211898084	4.19228123059847	8.63797163473547	Up_in_Tumor	TRUE
TIGIT	411.601095931102	1.1380271306049	0.157582919709418	1.67312890507031e-13	6.70410979712874e-13	1.1380271306049	12.1736588816247	2.61553037719069	7.74796264685539	Up_in_Tumor	TRUE
LAG3	393.438888226559	1.25175082737256	0.180597340399022	1.11522304798762e-12	4.22324012681258e-12	1.25175082737256	11.3743542245697	2.59597972601975	7.45812388486135	Up_in_Tumor	TRUE
MET	13869.2439870994	1.29094244003351	0.210149245726213	6.63921130486744e-10	2.04397070492923e-09	1.29094244003351	8.68952533298877	4.14208410067811	6.46412192666352	Up_in_Tumor	TRUE
NTRK2	566.652114522878	-1.4894079782262	0.279612106937647	4.36049613438563e-08	1.15442061900129e-07	1.4894079782262	6.93763592495119	2.75408225995447	5.50904239269269	Down_in_Tumor	TRUE
