gene	coef
SEMA5B	0.83750231936316
MIR4508	0.728316219864191
ATP10B	0.562938213020466
SPP1	0.44697321745848
FOXM1	0.405018411132031
GPT2	0.403651437149741
PLEKHN1	0.391804709576518
SYT12	0.386195281097096
RASAL1	0.362491955214441
AFAP1-AS1	0.352111483384135
