gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1/2-SBSRNA4	35.2659936623032	0.572983969197391	0.107474042032266	5.33137079766079	9.74741596293272e-08	2.49959037275524e-07
A1BG	331.850782702428	0.66739448354559	0.187267204140159	3.56386205801461	0.000365438048940651	0.000667232891398318
A1BG-AS1	59.8491872146573	-0.108020922362157	0.148824460992887	-0.725827741229445	0.467944378222714	0.546654251621447
A1CF	19.0403771015416	3.2103355223974	0.381381082276001	8.41765801082424	3.84085050358493e-17	1.97977187900214e-16
A2LD1	247.704640079932	0.542248009152813	0.0876239583872099	6.18835326699829	6.07959617167317e-10	1.87578291513752e-09
A2M	67717.6053867521	-1.8452314573885	0.138056037532422	-13.3658150007033	9.57801508442549e-41	1.86845863467889e-39
A2ML1	67.6175762556998	3.2751637086548	0.333581740655348	9.81817440673005	9.40309261057548e-23	6.92744663381535e-22
A2MP1	4.67462256480162	-0.788289837064958	0.200399998049322	-3.93358205957141	8.36892495406541e-05	0.00016352796693452
A4GALT	987.57141702804	0.0176537058397083	0.147529280277283	0.119662387063286	0.904750596978326	0.933963124898495
A4GNT	7.55589183282973	-0.598437432529145	0.256478397812642	-2.33328591270406	0.0196331443118444	0.0291664715004217
AA06	0.0289210854755365	-0.41026643043993	2.02109195470914	-0.202992461319738	0.839140924545029	0.892407245358571
AAA1	12.8922359214677	5.20530195025377	0.410715866405262	12.6737298848776	8.26871784151369e-37	1.32434556849414e-35
AAAS	1653.99512584111	0.404315181289804	0.0609608442470109	6.63237503161102	3.30327982257426e-11	1.11749569875296e-10
AACS	1998.50810911463	0.660749626910223	0.0925053313732712	7.14282752249177	9.14303242261148e-13	3.48108262978747e-12
AACSP1	11.1046551680742	-0.089934270375925	0.329883342126692	-0.272624467171142	0.785141902060855	0.848260194192227
AADAC	276.634681145589	-1.41796243413013	0.320026909535103	-4.43076001386878	9.39015468520212e-06	2.01385999339984e-05
AADACL2	3.24140251530079	-1.36381349814471	0.49918507359576	-2.73207988436194	0.00629358791819296	0.00996676272072818
AADACL3	0.625344037170325	0.971165641310893	0.515658126495576	1.88335176236038	0.0596527129020041	0.0829619690812886
AADACL4	0.721227361197	0.10702377780734	0.388711347735293	0.275329697552905	0.783062950473671	0.846622523546445
AADAT	283.400379145082	-0.0590923617540136	0.142416396735306	-0.41492667353354	0.678195582720162	0.752397726468361
AAGAB	2379.24770007403	0.489801645144179	0.0683933712276134	7.16153680323956	7.97775895528438e-13	3.05184804411566e-12
AAK1	2042.89956979077	-0.186807193342732	0.0742866310927195	-2.51468118280356	0.0119140067686791	0.0182324081596419
AAMP	5459.68961745537	0.377431903483097	0.0542996499708249	6.950908591232	3.62940993216161e-12	1.32631378026538e-11
AANAT	13.3005451439213	1.08523163113247	0.193931871374869	5.59594265470023	2.19426226567876e-08	5.94959821489982e-08
AARS	7913.10718227933	0.566584875485565	0.0767523232458664	7.38198990629354	1.55941018216938e-13	6.26068346414486e-13
AARS2	1164.97848721749	0.568035634843512	0.0728271375742186	7.79977977666118	6.20153034758804e-15	2.75894083386186e-14
AARSD1	1095.75363001547	0.677168506158642	0.0660860612357806	10.2467675254946	1.22367528951345e-24	1.01192157879786e-23
AASDH	598.865258308673	0.0724459263197728	0.0689317318896319	1.05098079409593	0.293267410845248	0.358570450117717
AASDHPPT	2031.58544530893	0.38109258420069	0.0604963274528605	6.29943337465638	2.98735671790299e-10	9.41944649684428e-10
AASS	1305.85393124596	-0.309196403752416	0.150431170548946	-2.05540116868141	0.0398402727196344	0.0568200094928204
AATF	3057.84020967935	0.521936760136749	0.065977367441814	7.91084549708731	2.55646645106449e-15	1.17176575077145e-14
AATK	763.747070881248	-1.70797836005202	0.204567531136043	-8.34921529612715	6.87179764767601e-17	3.49179605121094e-16
AATK-AS1	1.71624217925685	1.91870460250382	0.38655422422456	4.96361049048889	6.91946469439842e-07	1.65000368323336e-06
ABAT	924.038212522841	0.157808767385162	0.158839635097803	0.993510009564009	0.320461474968189	0.388951922605362
ABCA1	3099.29469491692	-0.798006539872441	0.124557035423215	-6.40675604682631	1.48648376266559e-10	4.79360722606488e-10
ABCA10	62.4228614789099	-1.52143658500015	0.169999256217384	-8.94966612709554	3.56559152728724e-19	2.11432170738508e-18
ABCA11P	271.995919641244	0.203548119806193	0.0819724222995165	2.48312925367088	0.0130233822831741	0.0198425980587703
ABCA12	593.60740164656	5.33032154013347	0.242166608493054	22.0109682887447	2.2611119211952e-107	1.13311855410829e-104
ABCA13	617.89867176127	0.535977936252518	0.26634205468765	2.01236690496017	0.0441812744799056	0.0626584441730929
ABCA17P	105.890174828718	-1.07596274168878	0.183790547584162	-5.85428769777225	4.790587249523e-09	1.36958079442182e-08
ABCA2	2455.40339475826	0.269819175227942	0.102307736965047	2.63732913298752	0.00835617109730388	0.0130264077433499
ABCA3	16245.0943955008	-2.10461040360937	0.19903044135468	-10.5743141063475	3.92035492803592e-26	3.54056563805119e-25
ABCA4	1007.1480722745	3.72629723083968	0.289178750976535	12.8857919824892	5.41170902870092e-38	9.12785716576174e-37
ABCA5	716.418986383761	-0.285890051111848	0.117454290955432	-2.43405369685752	0.0149307799392057	0.0225703189709765
ABCA6	328.146206942979	-1.39605725427979	0.148232833568907	-9.41800288551332	4.59749062209821e-21	3.02532859699261e-20
ABCA7	1733.59027860984	0.538306674313749	0.121366808911738	4.43536976163905	9.19143867673899e-06	1.97322137839994e-05
ABCA8	645.551134758541	-2.95449446313003	0.202840144714275	-14.5656298327523	4.64681984328547e-48	1.26101605638906e-46
ABCA9	180.568090548628	-1.79485213101599	0.144267729413102	-12.4411199810079	1.56296873337345e-35	2.32343493120005e-34
ABCB1	216.021420045483	-1.59730949460137	0.157716062316361	-10.1277540863108	4.16096699598102e-24	3.32390955460036e-23
ABCB10	940.329542146126	0.159600708200528	0.0662660507634009	2.40848377656265	0.0160189382363232	0.0241279105107751
ABCB11	8.73402028268127	1.42718575696045	0.297493001573494	4.79737590266598	1.60757742995982e-06	3.71515460371222e-06
ABCB4	92.7553322691592	2.02185733369572	0.190493744330445	10.6137728606376	2.57151034317015e-26	2.34398260908772e-25
ABCB5	8.18105083864787	-0.95031388143592	0.257940330112402	-3.68423922316376	0.00022938673309421	0.000428610507747745
ABCB6	1902.9574921963	1.88543674401245	0.144854454438074	13.0160770776882	9.9134542586016e-39	1.73975336175661e-37
ABCB7	1009.23199056683	0.168129259907138	0.0579263478045136	2.90246608459644	0.00370237246573747	0.00603485373869503
ABCB8	1789.21727131865	0.333344009019116	0.0780877973583175	4.26883610879069	1.96495572784699e-05	4.09157124826201e-05
ABCB9	397.123533322449	1.2792747651663	0.117896174526997	10.8508589892657	1.97559873224655e-27	1.92198994870112e-26
ABCC1	4485.14144105449	0.212704056460517	0.100765726293854	2.11087702419994	0.0347828834027959	0.050015061187137
ABCC10	1625.95172340514	0.66630026282771	0.0739042839586666	9.01571907794088	1.95583091937874e-19	1.17930329045214e-18
ABCC11	16.7053324610023	2.1546492142616	0.214838770932734	10.0291451347775	1.13494951009966e-23	8.81951978024035e-23
ABCC12	8.86402067422599	0.895259877125942	0.29848322328317	2.99936414274316	0.00270543748782853	0.00448440432105999
ABCC13	15.5670375933782	-2.00774398346108	0.280846772961862	-7.14889461711467	8.74794531367946e-13	3.33572733799096e-12
ABCC2	885.777420770821	4.88784938699666	0.362134874882885	13.4973175079517	1.62174179864813e-41	3.30369460716476e-40
ABCC3	10838.7609410264	2.51431872426532	0.158253351340803	15.8879335127043	7.6818492967288e-57	3.05526249542383e-55
ABCC4	2115.63019679912	-0.077300274582952	0.146121990948683	-0.5290119172418	0.596797182886889	0.674841963159115
ABCC5	2037.60614069116	0.711261360539228	0.118686922074026	5.9927525974227	2.06318609952555e-09	6.09789118353876e-09
ABCC6	1031.81630469896	-0.622123196658519	0.155143149872765	-4.00999462218428	6.07201307867817e-05	0.000120303959705914
ABCC6P1	141.464006418703	0.0241166721699932	0.158795969892425	0.151872066944336	0.879287840047294	0.919426967589617
ABCC6P2	56.7170291127893	0.0350584499849429	0.160902851792865	0.217885821129353	0.827518074852505	0.883670807178655
ABCC8	55.130236698373	-0.022877146481031	0.294456588920164	-0.0776927647125385	0.938072449633288	0.954449051611791
ABCC9	775.893801291259	-1.02417140064028	0.152667115732643	-6.70852655940558	1.96599391361799e-11	6.76252726449045e-11
ABCD1	1122.32994029008	0.293931163263727	0.0971750030375745	3.0247610401419	0.00248829639300029	0.00413877946294066
ABCD2	71.4612024258617	-0.219049984105398	0.164632122768764	-1.33054218351462	0.183339697386482	0.233732461742471
ABCD3	3446.81168435356	-0.0746446618687694	0.0844645801536704	-0.88373921628409	0.376837005352744	0.449918006549647
ABCD4	1523.23866145451	-0.0835683016062466	0.0636977955965924	-1.31194966518931	0.189537118464905	0.240938644785911
ABCE1	2510.22153054958	0.549064265384949	0.0689969954334713	7.9577996394694	1.75125634088587e-15	8.0910841514684e-15
ABCF1	4790.36019730509	0.401663140486099	0.0697771431902395	5.75637124310191	8.59412758986938e-09	2.41111527020531e-08
ABCF2	2380.66758071541	0.589740467276887	0.0616188241022066	9.57078418599306	1.06097839366948e-21	7.30345657986582e-21
ABCF3	2581.06184705641	0.272533407916418	0.0561547399952753	4.85325740871292	1.21449884228574e-06	2.83638808951799e-06
ABCG1	2338.23114264037	-1.38575413265854	0.122321871117629	-11.3287519230796	9.45422697803698e-30	1.05285072879858e-28
ABCG2	290.73489395411	-2.03664129232194	0.141950110606087	-14.3475851031469	1.10311934549745e-46	2.8045596798549e-45
ABCG4	11.1441457322615	0.288936868253392	0.158147904056317	1.82700409453736	0.0676991537628526	0.0933465983800727
ABCG5	5.14117261574811	0.0347418660965347	0.237555216224468	0.146247540461106	0.883725977118122	0.921866246183309
ABCG8	2.64857551331236	1.71079404797484	0.357360536859718	4.78730545630004	1.6903546135041e-06	3.89846460310196e-06
ABHD1	27.5948018722159	0.862260356252966	0.171767475181777	5.01992798893073	5.16908535812875e-07	1.24765111753357e-06
ABHD10	1217.86181450566	0.138288843138649	0.0646260670994222	2.13983071143572	0.032368450296318	0.0467910847841197
ABHD11	2056.1868981669	1.40507283402197	0.10739868514815	13.0827750086861	4.13079666275628e-39	7.40489630698068e-38
